ip,ok,models,latency_ms,error,checked_at
94.124.160.22,True,gemma3:4b,71,,2026-01-31 21:12:37
103.192.43.175,False,,,"HTTPConnectionPool(host='103.192.43.175', port=11434): Read timed out. (read timeout=1.5)",2026-01-31 21:12:37
3.28.130.119,False,,,"HTTPConnectionPool(host='3.28.130.119', port=11434): Max retries exceeded with url: /api/tags (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000253486363C0>, 'Connection to 3.28.130.119 timed out. (connect timeout=1.5)'))",2026-01-31 21:12:37
3.35.13.17,True,codellama:13b,667,,2026-01-31 21:12:37
13.38.47.87,True,"llama2:latest,codellama:13b,llama3:latest",31,,2026-01-31 21:12:37
54.94.57.178,False,,,"HTTPConnectionPool(host='54.94.57.178', port=11434): Max retries exceeded with url: /api/tags (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025348636C60>, 'Connection to 54.94.57.178 timed out. (connect timeout=1.5)'))",2026-01-31 21:12:37
51.112.42.200,True,"llama3:latest,llama2:latest,qwen2.5:1.5b,deepseek-r1:latest,openchat:7b",408,,2026-01-31 21:12:37
108.136.125.203,True,"llama3:latest,openchat:7b",566,,2026-01-31 21:12:37
18.231.226.82,True,"deepseek-r1:latest,llama2:latest,llama3:latest,openchat:7b",1582,,2026-01-31 21:12:37
47.129.253.154,True,"llama2:latest,openchat:7b",613,,2026-01-31 21:12:37
54.176.139.45,True,llama3:latest,345,,2026-01-31 21:12:37
43.198.103.166,True,"codellama:13b,openchat:7b,qwen2.5:1.5b",575,,2026-01-31 21:12:37
172.96.137.217,True,gemma3:4b,404,,2026-01-31 21:12:37
103.192.42.80,True,"gpt-oss:latest,phi3:mini-128k",410,,2026-01-31 21:12:37
35.92.118.192,True,"llama2:latest,qwen2.5:1.5b",364,,2026-01-31 21:12:37
54.252.210.16,False,,,"HTTPConnectionPool(host='54.252.210.16', port=11434): Max retries exceeded with url: /api/tags (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025348637500>, 'Connection to 54.252.210.16 timed out. (connect timeout=1.5)'))",2026-01-31 21:12:37
185.93.221.223,True,gemma3:4b,125,,2026-01-31 21:12:37
52.63.170.88,True,"llama2:latest,llama3:latest,qwen2.5:1.5b",563,,2026-01-31 21:12:37
16.50.117.61,True,deepseek-r1:latest,1636,,2026-01-31 21:12:37
45.33.139.19,False,,,"HTTPConnectionPool(host='45.33.139.19', port=11434): Max retries exceeded with url: /api/tags (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025348637FE0>, 'Connection to 45.33.139.19 timed out. (connect timeout=1.5)'))",2026-01-31 21:12:37
